EMGValue   Timestamp   TrueFlexState
135   27038108   0
134   27058908   0
134   27079708   0
132   27100508   0
131   27121308   0
131   27142108   0
129   27162908   0
130   27183708   0
129   27204508   0
127   27225308   0
126   27246108   0
125   27266908   0
125   27287708   0
124   27308508   0
124   27329308   0
125   27350108   0
126   27370908   0
126   27391708   0
127   27412508   0
126   27433308   0
127   27454108   0
126   27474908   0
125   27495708   0
123   27516508   0
121   27537308   0
119   27558108   0
113   27578908   0
106   27599708   0
98   27619468   0
89   27639228   0
82   27658988   0
75   27678748   0
71   27698508   0
68   27718268   0
67   27738028   0
67   27757788   0
67   27777548   0
67   27797308   0
68   27817068   0
68   27836828   0
67   27856588   0
64   27876348   0
63   27896108   0
62   27915868   0
61   27935628   0
60   27955388   0
60   27975148   0
62   27994908   0
62   28014668   0
62   28034428   0
62   28054188   0
62   28073948   0
61   28093708   0
61   28113468   0
62   28133228   0
62   28152988   0
62   28172748   0
63   28192508   0
63   28212268   0
65   28232028   0
66   28251788   0
67   28271548   0
67   28291308   0
70   28311068   0
71   28330828   0
71   28350588   0
73   28370348   0
72   28390108   0
72   28409872   0
73   28429628   0
75   28449388   0
77   28469148   0
79   28488908   0
79   28508668   0
80   28528428   0
81   28548188   0
82   28567948   0
83   28587708   0
86   28607468   0
88   28627228   0
92   28646988   0
96   28666748   0
101   28687548   0
105   28708348   0
111   28729148   0
115   28749948   0
120   28770748   0
125   28791548   0
127   28812348   0
130   28833148   0
133   28853948   0
133   28874748   0
134   28895548   0
133   28916348   0
131   28937148   0
125   28957948   0
114   28978748   0
100   28999548   0
89   29019308   0
81   29039068   0
76   29058828   0
71   29078588   0
71   29098348   0
69   29118108   0
71   29137868   0
77   29157628   0
83   29177388   0
85   29197148   0
89   29216908   0
91   29236668   0
91   29256428   0
92   29276188   0
92   29295948   0
94   29315708   0
96   29335468   0
96   29355228   0
96   29374988   0
96   29394748   0
98   29414508   0
99   29434268   0
99   29454028   0
99   29473788   0
97   29493548   0
97   29513308   0
97   29533068   0
97   29552828   0
97   29572588   0
98   29592348   0
99   29612108   0
100   29632908   0
102   29653708   0
103   29674512   0
104   29695308   0
105   29716108   0
106   29736908   0
107   29757708   0
108   29778508   0
109   29799308   0
110   29820108   0
112   29840908   0
113   29861708   0
115   29882508   0
117   29903308   0
120   29924108   0
122   29944908   0
123   29965708   0
125   29986508   0
126   30007312   0
128   30028108   0
129   30048908   0
131   30069708   0
132   30090508   0
135   30111308   0
140   30132108   0
142   30152908   0
144   30173708   0
147   30194508   0
149   30215308   0
151   30236108   0
152   30256908   0
152   30277708   0
151   30298508   0
150   30319308   0
150   30340112   0
148   30360908   0
146   30381708   0
143   30402508   0
142   30423308   0
140   30444108   0
138   30464908   0
136   30485708   0
137   30506508   0
137   30527308   0
137   30548108   0
139   30568908   0
140   30589708   0
143   30610508   0
144   30631308   0
146   30652108   0
147   30672912   0
149   30693708   0
149   30714508   0
148   30735308   0
150   30756108   0
149   30776908   0
148   30797708   0
147   30818508   0
147   30839308   0
147   30860108   0
148   30880908   0
147   30901708   0
149   30922508   0
150   30943308   0
151   30964108   0
152   30984908   0
152   31005712   0
155   31026508   0
157   31047308   0
160   31068108   0
163   31088908   0
166   31109708   0
167   31130508   0
167   31151308   0
167   31172108   0
167   31192908   0
167   31213708   0
166   31234508   0
166   31255308   0
164   31276108   0
163   31296908   0
162   31317708   0
163   31338512   0
161   31359308   0
161   31380108   0
161   31400908   0
161   31421708   0
159   31442508   0
158   31463308   0
155   31484108   0
153   31504908   0
152   31525708   0
150   31546508   0
151   31567308   0
152   31588108   0
153   31608908   0
155   31629708   0
159   31650508   0
163   31671312   0
169   31692108   0
176   31712908   0
182   31733708   0
189   31754508   0
192   31775308   0
192   31796108   0
190   31816908   0
191   31837708   0
192   31858508   0
194   31879308   0
195   31900108   0
197   31920908   0
196   31941708   0
197   31962508   0
198   31983308   0
199   32004112   0
199   32024908   0
199   32045708   0
